Fecha_facturacion,SKU,Categoria,Unidades_facturadas,Precio_unitario,Monto_facturado
2024-10-03,HJ1051,"Tijeras de Podar",67,8659.77,580204.59
2024-10-03,HJ1051,"Tijeras de Podar",3,8659.77,25979.31
2024-10-03,HJ1181,"Pulverizadores",29,4005.58,116161.82
2024-10-03,HJ1183,"Pulverizadores",21,1127.60,23679.60
2024-10-03,HJ1184,"Pulverizadores",44,7259.25,319407.00
2024-10-03,HJ1184,"Pulverizadores",55,7259.25,399258.75
2024-10-03,HJ1186,"Pulverizadores",1,10370.06,10370.06
2024-10-03,HJ1195,"Pulverizadores",24,6178.26,148278.24
2024-10-03,HJ1197,"Pulverizadores",8,4120.75,32966.00
2024-10-03,HJ1200,"Pulverizadores",19,5869.34,111517.46
2024-10-03,HJ1142,"Rastrillos",58,8576.12,497414.96
2024-10-03,HJ1142,"Rastrillos",8,8576.12,68608.96
2024-10-03,HJ1143,"Rastrillos",13,8252.38,107280.94
2024-10-03,HJ1144,"Rastrillos",14,1985.46,27796.44
2024-10-03,HJ1144,"Rastrillos",1,1985.46,1985.46
2024-10-03,HJ1155,"Pulverizadores",61,4747.95,289624.95
2024-10-03,HJ1156,"Pulverizadores",4,1868.19,7472.76
2024-10-03,HJ1156,"Pulverizadores",36,1868.19,67254.84
2024-10-03,HJ1159,"Pulverizadores",10,1603.75,16037.50
2024-10-03,HJ1159,"Pulverizadores",16,1603.75,25660.00
2024-10-03,HJ1160,"Pulverizadores",10,3307.72,33077.20
2024-10-03,HJ1160,"Pulverizadores",39,3307.72,129001.08
2024-10-03,HJ1162,"Pulverizadores",7,6737.14,47159.98
2024-10-03,HJ1163,"Pulverizadores",4,5045.51,20182.04
2024-10-03,HJ1164,"Pulverizadores",48,7720.07,370563.36
2024-10-03,HJ1165,"Pulverizadores",3,9212.85,27638.55
2024-10-03,HJ1174,"Pulverizadores",8,9515.28,76122.24
2024-10-03,HJ1176,"Pulverizadores",62,3066.09,190097.58
2024-10-03,HJ1179,"Pulverizadores",11,7432.89,81761.79
2024-10-03,HJ1099,"Tijeras de Podar",3,10092.41,30277.23
2024-10-03,HJ1100,"Rastrillos",40,6003.27,240130.80
2024-10-03,HJ1100,"Rastrillos",21,6003.27,126068.67
2024-10-03,HJ1104,"Rastrillos",30,5216.12,156483.60
2024-10-03,HJ1106,"Rastrillos",7,7111.29,49779.03
2024-10-03,HJ1108,"Rastrillos",39,4592.39,179103.21
2024-10-03,HJ1108,"Rastrillos",52,4592.39,238804.28
2024-10-03,HJ1114,"Rastrillos",1,4842.77,4842.77
2024-10-03,HJ1114,"Rastrillos",7,4842.77,33899.39
2024-10-03,HJ1116,"Rastrillos",40,5095.16,203806.40
2024-10-03,HJ1116,"Rastrillos",28,5095.16,142664.48
2024-10-03,HJ1116,"Rastrillos",10,5095.16,50951.60
2024-10-03,HJ1116,"Rastrillos",3,5095.16,15285.48
2024-10-03,HJ1119,"Rastrillos",95,5370.49,510196.55
2024-10-03,HJ1120,"Rastrillos",39,5832.14,227453.46
2024-10-03,HJ1126,"Rastrillos",43,3808.31,163757.33
2024-10-03,HJ1126,"Rastrillos",20,3808.31,76166.20
2024-10-03,HJ1132,"Rastrillos",9,1870.69,16836.21
2024-10-03,HJ1135,"Rastrillos",19,1757.04,33383.76
2024-10-03,HJ1135,"Rastrillos",1,1757.04,1757.04
2024-10-03,HJ1135,"Rastrillos",19,1757.04,33383.76
2024-10-04,HJ1099,"Tijeras de Podar",65,10092.41,656006.65
2024-10-04,HJ1105,"Rastrillos",15,1843.18,27647.70
2024-10-04,HJ1106,"Rastrillos",49,7111.29,348453.21
2024-10-04,HJ1113,"Rastrillos",5,3525.53,17627.65
2024-10-04,HJ1113,"Rastrillos",5,3525.53,17627.65
2024-10-04,HJ1115,"Rastrillos",10,7838.36,78383.60
2024-10-04,HJ1116,"Rastrillos",20,5095.16,101903.20
2024-10-04,HJ1119,"Rastrillos",39,5370.49,209449.11
2024-10-04,HJ1119,"Rastrillos",10,5370.49,53704.90
2024-10-04,HJ1119,"Rastrillos",57,5370.49,306117.93
2024-10-04,HJ1120,"Rastrillos",11,5832.14,64153.54
2024-10-04,HJ1123,"Rastrillos",13,8444.49,109778.37
2024-10-04,HJ1123,"Rastrillos",11,8444.49,92889.39
2024-10-04,HJ1123,"Rastrillos",1,8444.49,8444.49
2024-10-04,HJ1124,"Rastrillos",9,1536.58,13829.22
2024-10-04,HJ1126,"Rastrillos",4,3808.31,15233.24
2024-10-04,HJ1132,"Rastrillos",3,1870.69,5612.07
2024-10-04,HJ1133,"Rastrillos",25,10196.60,254915.00
2024-10-04,HJ1136,"Rastrillos",16,9138.19,146211.04
2024-10-04,HJ1139,"Rastrillos",5,8974.25,44871.25
2024-10-04,HJ1182,"Pulverizadores",9,7349.02,66141.18
2024-10-04,HJ1182,"Pulverizadores",40,7349.02,293960.80
2024-10-04,HJ1184,"Pulverizadores",37,7259.25,268592.25
2024-10-04,HJ1186,"Pulverizadores",24,10370.06,248881.44
2024-10-04,HJ1192,"Pulverizadores",21,5570.19,116973.99
2024-10-04,HJ1197,"Pulverizadores",3,4120.75,12362.25
2024-10-04,HJ1058,"Tijeras de Podar",28,2268.04,63505.12
2024-10-04,HJ1058,"Tijeras de Podar",8,2268.04,18144.32
2024-10-04,HJ1058,"Tijeras de Podar",18,2268.04,40824.72
2024-10-04,HJ1058,"Tijeras de Podar",69,2268.04,156494.76
2024-10-04,HJ1060,"Tijeras de Podar",17,7191.95,122263.15
2024-10-04,HJ1065,"Tijeras de Podar",2,6369.85,12739.70
2024-10-04,HJ1065,"Tijeras de Podar",78,6369.85,496848.30
2024-10-04,HJ1065,"Tijeras de Podar",52,6369.85,331232.20
2024-10-04,HJ1067,"Tijeras de Podar",26,6981.31,181514.06
2024-10-04,HJ1067,"Tijeras de Podar",2,6981.31,13962.62
2024-10-04,HJ1069,"Tijeras de Podar",14,4900.83,68611.62
2024-10-04,HJ1072,"Tijeras de Podar",35,2634.16,92195.60
2024-10-04,HJ1072,"Tijeras de Podar",14,2634.16,36878.24
2024-10-04,HJ1075,"Tijeras de Podar",15,6523.87,97858.05
2024-10-04,HJ1075,"Tijeras de Podar",8,6523.87,52190.96
2024-10-04,HJ1076,"Tijeras de Podar",21,6518.81,136895.01
2024-10-04,HJ1077,"Tijeras de Podar",47,9062.97,425959.59
2024-10-04,HJ1077,"Tijeras de Podar",6,9062.97,54377.82
2024-10-04,HJ1077,"Tijeras de Podar",27,9062.97,244700.19
2024-10-04,HJ1078,"Tijeras de Podar",2,1372.40,2744.80
2024-10-04,HJ1078,"Tijeras de Podar",18,1372.40,24703.20
2024-10-04,HJ1078,"Tijeras de Podar",88,1372.40,120771.20
2024-10-04,HJ1083,"Tijeras de Podar",49,6166.94,302180.06
2024-10-04,HJ1083,"Tijeras de Podar",14,6166.94,86337.16
2024-10-04,HJ1083,"Tijeras de Podar",33,6166.94,203509.02
2024-10-04,HJ1084,"Tijeras de Podar",91,5323.99,484483.09
2024-10-04,HJ1084,"Tijeras de Podar",20,5323.99,106479.80
2024-10-04,HJ1088,"Tijeras de Podar",28,6106.99,170995.72
2024-10-04,HJ1088,"Tijeras de Podar",21,6106.99,128246.79
2024-10-04,HJ1090,"Tijeras de Podar",7,2497.50,17482.50
2024-10-04,HJ1003,"Palas",76,6143.30,466890.80
2024-10-04,HJ1004,"Palas",52,5768.25,299949.00
2024-10-04,HJ1005,"Palas",78,9981.47,778554.66
2024-10-04,HJ1018,"Palas",50,2130.31,106515.50
2024-10-04,HJ1022,"Palas",22,2797.22,61538.84
2024-10-04,HJ1023,"Palas",2,10052.79,20105.58
2024-10-04,HJ1024,"Palas",32,1759.55,56305.60
2024-10-04,HJ1024,"Palas",9,1759.55,15835.95
2024-10-04,HJ1024,"Palas",5,1759.55,8797.75
2024-10-04,HJ1028,"Palas",42,9067.02,380814.84
2024-10-04,HJ1031,"Palas",50,1955.55,97777.50
2024-10-04,HJ1038,"Palas",20,1340.81,26816.20
2024-10-04,HJ1038,"Palas",8,1340.81,10726.48
2024-10-04,HJ1039,"Palas",13,2219.93,28859.09
2024-10-04,HJ1039,"Palas",16,2219.93,35518.88
2024-10-04,HJ1039,"Palas",17,2219.93,37738.81
2024-10-04,HJ1042,"Palas",50,8455.80,422790.00
2024-10-04,HJ1045,"Palas",60,5201.88,312112.80
2024-10-04,HJ1048,"Palas",14,6473.86,90634.04
2024-10-04,HJ1048,"Palas",26,6473.86,168320.36
2024-10-04,HJ1056,"Tijeras de Podar",30,6113.22,183396.60
2024-10-04,HJ1142,"Rastrillos",35,8576.12,300164.20
2024-10-04,HJ1142,"Rastrillos",73,8576.12,626056.76
2024-10-04,HJ1144,"Rastrillos",33,1985.46,65520.18
2024-10-04,HJ1149,"Rastrillos",65,9192.03,597481.95
2024-10-04,HJ1150,"Pulverizadores",3,8285.54,24856.62
2024-10-04,HJ1150,"Pulverizadores",26,8285.54,215424.04
2024-10-04,HJ1152,"Pulverizadores",52,8429.66,438342.32
2024-10-04,HJ1155,"Pulverizadores",2,4747.95,9495.90
2024-10-04,HJ1156,"Pulverizadores",11,1868.19,20550.09
2024-10-04,HJ1159,"Pulverizadores",38,1603.75,60942.50
2024-10-04,HJ1159,"Pulverizadores",16,1603.75,25660.00
2024-10-04,HJ1160,"Pulverizadores",50,3307.72,165386.00
2024-10-04,HJ1160,"Pulverizadores",19,3307.72,62846.68
2024-10-04,HJ1162,"Pulverizadores",25,6737.14,168428.50
2024-10-04,HJ1162,"Pulverizadores",20,6737.14,134742.80
2024-10-04,HJ1163,"Pulverizadores",6,5045.51,30273.06
2024-10-04,HJ1163,"Pulverizadores",9,5045.51,45409.59
2024-10-04,HJ1165,"Pulverizadores",67,9212.85,617260.95
2024-10-04,HJ1168,"Pulverizadores",9,6900.51,62104.59
2024-10-04,HJ1171,"Pulverizadores",12,2191.13,26293.56
2024-10-04,HJ1171,"Pulverizadores",10,2191.13,21911.30
2024-10-04,HJ1179,"Pulverizadores",96,7432.89,713557.44
2024-10-05,HJ1142,"Rastrillos",24,8576.12,205826.88
2024-10-05,HJ1142,"Rastrillos",3,8576.12,25728.36
2024-10-05,HJ1143,"Rastrillos",3,8252.38,24757.14
2024-10-05,HJ1144,"Rastrillos",5,1985.46,9927.30
2024-10-05,HJ1150,"Pulverizadores",51,8285.54,422562.54
2024-10-05,HJ1152,"Pulverizadores",59,8429.66,497349.94
2024-10-05,HJ1155,"Pulverizadores",2,4747.95,9495.90
2024-10-05,HJ1156,"Pulverizadores",35,1868.19,65386.65
2024-10-05,HJ1156,"Pulverizadores",1,1868.19,1868.19
2024-10-05,HJ1156,"Pulverizadores",2,1868.19,3736.38
2024-10-05,HJ1156,"Pulverizadores",94,1868.19,175609.86
2024-10-05,HJ1159,"Pulverizadores",11,1603.75,17641.25
2024-10-05,HJ1159,"Pulverizadores",13,1603.75,20848.75
2024-10-05,HJ1160,"Pulverizadores",37,3307.72,122385.64
2024-10-05,HJ1160,"Pulverizadores",71,3307.72,234848.12
2024-10-05,HJ1160,"Pulverizadores",17,3307.72,56231.24
2024-10-05,HJ1162,"Pulverizadores",36,6737.14,242537.04
2024-10-05,HJ1162,"Pulverizadores",6,6737.14,40422.84
2024-10-05,HJ1163,"Pulverizadores",84,5045.51,423822.84
2024-10-05,HJ1163,"Pulverizadores",7,5045.51,35318.57
2024-10-05,HJ1163,"Pulverizadores",36,5045.51,181638.36
2024-10-05,HJ1163,"Pulverizadores",27,5045.51,136228.77
2024-10-05,HJ1164,"Pulverizadores",10,7720.07,77200.70
2024-10-05,HJ1171,"Pulverizadores",8,2191.13,17529.04
2024-10-05,HJ1171,"Pulverizadores",59,2191.13,129276.67
2024-10-05,HJ1174,"Pulverizadores",38,9515.28,361580.64
2024-10-05,HJ1176,"Pulverizadores",11,3066.09,33726.99
2024-10-05,HJ1176,"Pulverizadores",16,3066.09,49057.44
2024-10-05,HJ1176,"Pulverizadores",15,3066.09,45991.35
2024-10-05,HJ1176,"Pulverizadores",33,3066.09,101180.97
2024-10-05,HJ1179,"Pulverizadores",6,7432.89,44597.34
2024-10-05,HJ1059,"Tijeras de Podar",13,3708.34,48208.42
2024-10-05,HJ1060,"Tijeras de Podar",13,7191.95,93495.35
2024-10-05,HJ1061,"Tijeras de Podar",1,10179.37,10179.37
2024-10-05,HJ1061,"Tijeras de Podar",2,10179.37,20358.74
2024-10-05,HJ1067,"Tijeras de Podar",68,6981.31,474729.08
2024-10-05,HJ1067,"Tijeras de Podar",30,6981.31,209439.30
2024-10-05,HJ1067,"Tijeras de Podar",82,6981.31,572467.42
2024-10-05,HJ1069,"Tijeras de Podar",11,4900.83,53909.13
2024-10-05,HJ1069,"Tijeras de Podar",31,4900.83,151925.73
2024-10-05,HJ1075,"Tijeras de Podar",53,6523.87,345765.11
2024-10-05,HJ1076,"Tijeras de Podar",27,6518.81,176007.87
2024-10-05,HJ1076,"Tijeras de Podar",9,6518.81,58669.29
2024-10-05,HJ1077,"Tijeras de Podar",3,9062.97,27188.91
2024-10-05,HJ1080,"Tijeras de Podar",13,3447.71,44820.23
2024-10-05,HJ1080,"Tijeras de Podar",29,3447.71,99983.59
2024-10-05,HJ1082,"Tijeras de Podar",4,8104.94,32419.76
2024-10-05,HJ1082,"Tijeras de Podar",31,8104.94,251253.14
2024-10-05,HJ1082,"Tijeras de Podar",5,8104.94,40524.70
2024-10-05,HJ1083,"Tijeras de Podar",39,6166.94,240510.66
2024-10-05,HJ1083,"Tijeras de Podar",27,6166.94,166507.38
2024-10-05,HJ1083,"Tijeras de Podar",13,6166.94,80170.22
2024-10-05,HJ1084,"Tijeras de Podar",23,5323.99,122451.77
2024-10-05,HJ1084,"Tijeras de Podar",7,5323.99,37267.93
2024-10-05,HJ1086,"Tijeras de Podar",71,2517.24,178724.04
2024-10-05,HJ1086,"Tijeras de Podar",11,2517.24,27689.64
2024-10-05,HJ1088,"Tijeras de Podar",26,6106.99,158781.74
2024-10-05,HJ1088,"Tijeras de Podar",5,6106.99,30534.95
2024-10-05,HJ1090,"Tijeras de Podar",10,2497.50,24975.00
2024-10-05,HJ1090,"Tijeras de Podar",53,2497.50,132367.50
2024-10-05,HJ1093,"Tijeras de Podar",73,4362.06,318430.38
2024-10-05,HJ1093,"Tijeras de Podar",28,4362.06,122137.68
2024-10-05,HJ1093,"Tijeras de Podar",46,4362.06,200654.76
2024-10-05,HJ1094,"Tijeras de Podar",56,4859.77,272147.12
2024-10-05,HJ1097,"Tijeras de Podar",1,4207.33,4207.33
2024-10-05,HJ1097,"Tijeras de Podar",19,4207.33,79939.27
2024-10-05,HJ1097,"Tijeras de Podar",54,4207.33,227195.82
2024-10-05,HJ1099,"Tijeras de Podar",4,10092.41,40369.64
2024-10-05,HJ1099,"Tijeras de Podar",74,10092.41,746838.34
2024-10-05,HJ1099,"Tijeras de Podar",44,10092.41,444066.04
2024-10-05,HJ1100,"Rastrillos",56,6003.27,336183.12
2024-10-05,HJ1100,"Rastrillos",22,6003.27,132071.94
2024-10-05,HJ1100,"Rastrillos",2,6003.27,12006.54
2024-10-05,HJ1100,"Rastrillos",12,6003.27,72039.24
2024-10-05,HJ1102,"Rastrillos",9,5164.97,46484.73
2024-10-05,HJ1104,"Rastrillos",2,5216.12,10432.24
2024-10-05,HJ1105,"Rastrillos",3,1843.18,5529.54
2024-10-05,HJ1106,"Rastrillos",13,7111.29,92446.77
2024-10-05,HJ1106,"Rastrillos",1,7111.29,7111.29
2024-10-05,HJ1106,"Rastrillos",63,7111.29,448011.27
2024-10-05,HJ1108,"Rastrillos",31,4592.39,142364.09
2024-10-05,HJ1108,"Rastrillos",30,4592.39,137771.70
2024-10-05,HJ1112,"Rastrillos",16,3477.73,55643.68
2024-10-05,HJ1112,"Rastrillos",50,3477.73,173886.50
2024-10-05,HJ1112,"Rastrillos",12,3477.73,41732.76
2024-10-05,HJ1113,"Rastrillos",33,3525.53,116342.49
2024-10-05,HJ1114,"Rastrillos",69,4842.77,334151.13
2024-10-05,HJ1116,"Rastrillos",28,5095.16,142664.48
2024-10-05,HJ1124,"Rastrillos",8,1536.58,12292.64
2024-10-05,HJ1126,"Rastrillos",34,3808.31,129482.54
2024-10-05,HJ1131,"Rastrillos",77,7539.61,580549.97
2024-10-05,HJ1132,"Rastrillos",75,1870.69,140301.75
2024-10-05,HJ1133,"Rastrillos",14,10196.60,142752.40
2024-10-05,HJ1135,"Rastrillos",37,1757.04,65010.48
2024-10-05,HJ1135,"Rastrillos",52,1757.04,91366.08
2024-10-05,HJ1136,"Rastrillos",31,9138.19,283283.89
2024-10-05,HJ1139,"Rastrillos",2,8974.25,17948.50
2024-10-05,HJ1181,"Pulverizadores",10,4005.58,40055.80
2024-10-05,HJ1182,"Pulverizadores",2,7349.02,14698.04
2024-10-05,HJ1183,"Pulverizadores",70,1127.60,78932.00
2024-10-05,HJ1183,"Pulverizadores",11,1127.60,12403.60
2024-10-05,HJ1183,"Pulverizadores",7,1127.60,7893.20
2024-10-05,HJ1184,"Pulverizadores",14,7259.25,101629.50
2024-10-05,HJ1184,"Pulverizadores",39,7259.25,283110.75
2024-10-05,HJ1195,"Pulverizadores",2,6178.26,12356.52
2024-10-05,HJ1195,"Pulverizadores",6,6178.26,37069.56
2024-10-05,HJ1195,"Pulverizadores",5,6178.26,30891.30
2024-10-05,HJ1195,"Pulverizadores",10,6178.26,61782.60
2024-10-05,HJ1197,"Pulverizadores",7,4120.75,28845.25
2024-10-05,HJ1197,"Pulverizadores",2,4120.75,8241.50
2024-10-05,HJ1200,"Pulverizadores",51,5869.34,299336.34
2024-10-05,HJ1003,"Palas",3,6143.30,18429.90
2024-10-05,HJ1003,"Palas",11,6143.30,67576.30
2024-10-05,HJ1003,"Palas",30,6143.30,184299.00
2024-10-05,HJ1005,"Palas",66,9981.47,658777.02
2024-10-05,HJ1005,"Palas",47,9981.47,469129.09
2024-10-05,HJ1016,"Palas",1,7057.81,7057.81
2024-10-05,HJ1018,"Palas",1,2130.31,2130.31
2024-10-05,HJ1018,"Palas",92,2130.31,195988.52
2024-10-05,HJ1018,"Palas",19,2130.31,40475.89
2024-10-05,HJ1022,"Palas",67,2797.22,187413.74
2024-10-05,HJ1023,"Palas",1,10052.79,10052.79
2024-10-05,HJ1024,"Palas",22,1759.55,38710.10
2024-10-05,HJ1025,"Palas",12,3817.09,45805.08
2024-10-05,HJ1025,"Palas",8,3817.09,30536.72
2024-10-05,HJ1027,"Palas",78,9970.87,777727.86
2024-10-05,HJ1028,"Palas",51,9067.02,462418.02
2024-10-05,HJ1028,"Palas",1,9067.02,9067.02
2024-10-05,HJ1028,"Palas",31,9067.02,281077.62
2024-10-05,HJ1030,"Palas",17,4736.49,80520.33
2024-10-05,HJ1031,"Palas",39,1955.55,76266.45
2024-10-05,HJ1034,"Palas",76,2381.03,180958.28
2024-10-05,HJ1034,"Palas",3,2381.03,7143.09
2024-10-05,HJ1035,"Palas",57,7918.56,451357.92
2024-10-05,HJ1037,"Palas",36,5351.56,192656.16
2024-10-05,HJ1038,"Palas",3,1340.81,4022.43
2024-10-05,HJ1039,"Palas",7,2219.93,15539.51
2024-10-05,HJ1039,"Palas",52,2219.93,115436.36
2024-10-05,HJ1039,"Palas",3,2219.93,6659.79
2024-10-05,HJ1039,"Palas",24,2219.93,53278.32
2024-10-05,HJ1039,"Palas",2,2219.93,4439.86
2024-10-05,HJ1045,"Palas",2,5201.88,10403.76
2024-10-05,HJ1045,"Palas",12,5201.88,62422.56
2024-10-05,HJ1045,"Palas",4,5201.88,20807.52
2024-10-05,HJ1045,"Palas",3,5201.88,15605.64
2024-10-05,HJ1048,"Palas",7,6473.86,45317.02
2024-10-05,HJ1048,"Palas",14,6473.86,90634.04
2024-10-05,HJ1050,"Tijeras de Podar",16,5006.87,80109.92
2024-10-05,HJ1050,"Tijeras de Podar",7,5006.87,35048.09
2024-10-05,HJ1050,"Tijeras de Podar",59,5006.87,295405.33
2024-10-05,HJ1056,"Tijeras de Podar",15,6113.22,91698.30
2024-10-06,HJ1003,"Palas",26,6143.30,159725.80
2024-10-06,HJ1004,"Palas",47,5768.25,271107.75
2024-10-06,HJ1005,"Palas",73,9981.47,728647.31
2024-10-06,HJ1005,"Palas",2,9981.47,19962.94
2024-10-06,HJ1016,"Palas",9,7057.81,63520.29
2024-10-06,HJ1017,"Palas",32,9655.22,308967.04
2024-10-06,HJ1018,"Palas",14,2130.31,29824.34
2024-10-06,HJ1018,"Palas",6,2130.31,12781.86
2024-10-06,HJ1022,"Palas",32,2797.22,89511.04
2024-10-06,HJ1023,"Palas",88,10052.79,884645.52
2024-10-06,HJ1024,"Palas",8,1759.55,14076.40
2024-10-06,HJ1025,"Palas",20,3817.09,76341.80
2024-10-06,HJ1025,"Palas",10,3817.09,38170.90
2024-10-06,HJ1027,"Palas",5,9970.87,49854.35
2024-10-06,HJ1027,"Palas",65,9970.87,648106.55
2024-10-06,HJ1028,"Palas",69,9067.02,625624.38
2024-10-06,HJ1028,"Palas",55,9067.02,498686.10
2024-10-06,HJ1030,"Palas",23,4736.49,108939.27
2024-10-06,HJ1030,"Palas",14,4736.49,66310.86
2024-10-06,HJ1031,"Palas",5,1955.55,9777.75
2024-10-06,HJ1034,"Palas",36,2381.03,85717.08
2024-10-06,HJ1034,"Palas",79,2381.03,188101.37
2024-10-06,HJ1035,"Palas",46,7918.56,364253.76
2024-10-06,HJ1035,"Palas",6,7918.56,47511.36
2024-10-06,HJ1035,"Palas",31,7918.56,245475.36
2024-10-06,HJ1035,"Palas",19,7918.56,150452.64
2024-10-06,HJ1037,"Palas",12,5351.56,64218.72
2024-10-06,HJ1037,"Palas",4,5351.56,21406.24
2024-10-06,HJ1037,"Palas",3,5351.56,16054.68
2024-10-06,HJ1038,"Palas",34,1340.81,45587.54
2024-10-06,HJ1039,"Palas",3,2219.93,6659.79
2024-10-06,HJ1042,"Palas",13,8455.80,109925.40
2024-10-06,HJ1045,"Palas",63,5201.88,327718.44
2024-10-06,HJ1045,"Palas",11,5201.88,57220.68
2024-10-06,HJ1045,"Palas",45,5201.88,234084.60
2024-10-06,HJ1048,"Palas",10,6473.86,64738.60
2024-10-06,HJ1050,"Tijeras de Podar",6,5006.87,30041.22
2024-10-06,HJ1051,"Tijeras de Podar",31,8659.77,268452.87
2024-10-06,HJ1056,"Tijeras de Podar",39,6113.22,238415.58
2024-10-06,HJ1056,"Tijeras de Podar",36,6113.22,220075.92
2024-10-06,HJ1100,"Rastrillos",2,6003.27,12006.54
2024-10-06,HJ1100,"Rastrillos",56,6003.27,336183.12
2024-10-06,HJ1100,"Rastrillos",47,6003.27,282153.69
2024-10-06,HJ1102,"Rastrillos",29,5164.97,149784.13
2024-10-06,HJ1102,"Rastrillos",9,5164.97,46484.73
2024-10-06,HJ1104,"Rastrillos",15,5216.12,78241.80
